Daten des Coronavirussituationsberichts, Stand 2021-03-30 08:00 Uhr;;;;;;
Quelle: BAG/MT;;;;;;
;;;;;;
Fallzahlen, Hospitalisationen und Todesfälle seit Einführung der Meldepflicht für COVID-19 in der Schweiz und Fürstentum Liechtenstein;;;;;;
In dieser Tabelle werden Datensätze mit fehlenden Datumsangaben ausgeschlossen, daher weichen die kumulierten Zahlen von den Totalen ab.;;;;;;
;;;;;;
Datum;Fallzahlen pro Tag;Fallzahlen pro Tag, kumuliert;Hospitalisationen pro Tag;Hospitalisationen pro Tag, Kumuliert;Todesfälle pro Tag;Todesfälle pro Tag, kumuliert
24.02.2020;1;1;5;5;;
25.02.2020;1;2;4;9;;
26.02.2020;10;12;9;18;;
27.02.2020;10;22;5;23;;
28.02.2020;10;32;5;28;;
29.02.2020;13;45;14;42;;
01.03.2020;11;56;10;52;;
02.03.2020;31;87;14;66;;
03.03.2020;33;120;17;83;;
04.03.2020;61;181;13;96;;
05.03.2020;62;243;18;114;2;2
06.03.2020;73;316;24;138;0;2
07.03.2020;49;365;8;146;0;2
08.03.2020;68;433;18;164;1;3
09.03.2020;192;625;29;193;0;3
10.03.2020;212;837;42;235;2;5
11.03.2020;334;1171;49;284;3;8
12.03.2020;357;1528;52;336;4;12
13.03.2020;433;1961;56;392;3;15
14.03.2020;420;2381;65;457;5;20
15.03.2020;328;2709;55;512;8;28
16.03.2020;1065;3774;120;632;7;35
17.03.2020;1088;4862;98;730;12;47
18.03.2020;1214;6076;112;842;8;55
19.03.2020;837;6913;110;952;14;69
20.03.2020;1147;8060;143;1095;21;90
21.03.2020;693;8753;118;1213;19;109
22.03.2020;548;9301;135;1348;18;127
23.03.2020;1464;10765;163;1511;23;150
24.03.2020;1243;12008;181;1692;19;169
25.03.2020;1073;13081;200;1892;39;208
26.03.2020;1118;14199;165;2057;38;246
27.03.2020;1308;15507;210;2267;32;278
28.03.2020;723;16230;123;2390;57;335
29.03.2020;434;16664;122;2512;46;381
30.03.2020;1311;17975;167;2679;58;439
31.03.2020;1138;19113;126;2805;44;483
01.04.2020;1016;20129;97;2902;57;540
02.04.2020;878;21007;96;2998;60;600
03.04.2020;928;21935;75;3073;57;657
04.04.2020;486;22421;58;3131;56;713
05.04.2020;281;22702;50;3181;50;763
06.04.2020;925;23627;71;3252;50;813
07.04.2020;715;24342;57;3309;57;870
08.04.2020;613;24955;59;3368;58;928
09.04.2020;560;25515;58;3426;45;973
10.04.2020;309;25824;42;3468;52;1025
11.04.2020;261;26085;43;3511;45;1070
12.04.2020;219;26304;33;3544;36;1106
13.04.2020;245;26549;27;3571;36;1142
14.04.2020;424;26973;52;3623;37;1179
15.04.2020;328;27301;32;3655;38;1217
16.04.2020;321;27622;38;3693;38;1255
17.04.2020;291;27913;32;3725;36;1291
18.04.2020;145;28058;13;3738;34;1325
19.04.2020;87;28145;24;3762;21;1346
20.04.2020;277;28422;23;3785;38;1384
21.04.2020;213;28635;19;3804;33;1417
22.04.2020;155;28790;21;3825;27;1444
23.04.2020;208;28998;9;3834;31;1475
24.04.2020;167;29165;13;3847;27;1502
25.04.2020;87;29252;15;3862;25;1527
26.04.2020;61;29313;6;3868;13;1540
27.04.2020;173;29486;13;3881;23;1563
28.04.2020;153;29639;15;3896;12;1575
29.04.2020;120;29759;11;3907;11;1586
30.04.2020;101;29860;4;3911;14;1600
01.05.2020;83;29943;7;3918;12;1612
02.05.2020;47;29990;7;3925;9;1621
03.05.2020;22;30012;7;3932;8;1629
04.05.2020;90;30102;4;3936;9;1638
05.05.2020;73;30175;6;3942;10;1648
06.05.2020;79;30254;3;3945;4;1652
07.05.2020;46;30300;7;3952;12;1664
08.05.2020;59;30359;3;3955;7;1671
09.05.2020;39;30398;2;3957;5;1676
10.05.2020;16;30414;6;3963;7;1683
11.05.2020;47;30461;5;3968;3;1686
12.05.2020;42;30503;1;3969;1;1687
13.05.2020;37;30540;5;3974;1;1688
14.05.2020;37;30577;3;3977;2;1690
15.05.2020;41;30618;3;3980;5;1695
16.05.2020;15;30633;3;3983;1;1696
17.05.2020;12;30645;5;3988;4;1700
18.05.2020;34;30679;3;3991;3;1703
19.05.2020;36;30715;2;3993;4;1707
20.05.2020;29;30744;2;3995;0;1707
21.05.2020;11;30755;3;3998;5;1712
22.05.2020;20;30775;4;4002;1;1713
23.05.2020;14;30789;1;4003;1;1714
24.05.2020;10;30799;0;4003;0;1714
